ticker,date_detected,tracking_day,current_date,detection_price,current_price,initial_change_pct,cumulative_change_pct,status
GNRC,2026-01-05,1,2026-01-05,148.67999267578125,148.67999267578125,5.37,0.0,active
HAL,2026-01-05,1,2026-01-05,31.920000076293945,31.920000076293945,7.84,0.0,active
IBKR,2026-01-05,1,2026-01-05,71.56999969482422,71.56999969482422,6.46,0.0,active
JBL,2026-01-05,1,2026-01-05,223.44000244140625,223.44000244140625,-7.05,0.0,active
KLAC,2026-01-05,1,2026-01-05,1352.449951171875,1352.449951171875,6.12,0.0,active
LRCX,2026-01-05,1,2026-01-05,194.75999450683597,194.75999450683594,5.24,-0.0,active
LDOS,2026-01-05,1,2026-01-05,195.4900054931641,195.49000549316406,6.55,-0.0,active
MPC,2026-01-05,1,2026-01-05,174.94000244140625,174.94000244140625,5.93,0.0,active
MCO,2026-01-05,1,2026-01-05,526.8800048828125,526.8800048828125,5.59,0.0,active
PSX,2026-01-05,1,2026-01-05,139.97999572753906,139.97999572753906,7.21,0.0,active
HOOD,2026-01-05,1,2026-01-05,123.23999786376952,123.23999786376953,6.97,0.0,active
SLB,2026-01-05,1,2026-01-05,43.79999923706055,43.79999923706055,8.96,0.0,active
TER,2026-01-05,1,2026-01-05,219.5,219.5,5.75,0.0,active
TTD,2026-01-05,1,2026-01-05,40.11000061035156,40.11000061035156,6.45,0.0,active
VLO,2026-01-05,1,2026-01-05,180.57000732421875,180.57000732421875,9.23,0.0,active
AMAT,2026-01-05,3,2026-01-06,284.32000732421875,296.010009765625,5.75,4.11,active
TECH,2026-01-05,3,2026-01-06,63.02999877929688,65.27999877929688,5.67,3.57,active
XYZ,2026-01-05,3,2026-01-06,68.44000244140625,70.0,5.05,2.28,active
CVNA,2026-01-05,3,2026-01-06,430.1700134277344,440.44000244140625,7.48,2.39,active
CNC,2026-01-05,3,2026-01-06,44.68999862670898,45.7400016784668,6.97,2.35,active
CVX,2026-01-05,3,2026-01-06,163.889892578125,156.5399932861328,5.13,-4.48,active
COIN,2026-01-05,3,2026-01-06,254.9199981689453,250.55999755859375,7.77,-1.71,active
EMR,2026-01-05,3,2026-01-06,142.86000061035156,145.6199951171875,5.18,1.93,active
FFIV,2026-01-05,3,2026-01-06,272.0599975585937,270.6400146484375,6.01,-0.52,active
GNRC,2026-01-05,3,2026-01-06,148.72000122070312,145.27000427246094,5.4,-2.32,active
HAL,2026-01-05,3,2026-01-06,31.940000534057617,30.829999923706055,7.91,-3.48,active
IBKR,2026-01-05,3,2026-01-06,71.56999969482422,72.87999725341797,6.46,1.83,active
JBL,2026-01-05,3,2026-01-06,223.4199981689453,224.3800048828125,-7.06,0.43,active
KLAC,2026-01-05,3,2026-01-06,1352.449951171875,1395.0,6.12,3.15,active
LRCX,2026-01-05,3,2026-01-06,194.759994506836,206.9600067138672,5.24,6.26,active
LDOS,2026-01-05,3,2026-01-06,195.5500030517578,197.5,6.58,1.0,active
MPC,2026-01-05,3,2026-01-06,174.89999389648438,170.4199981689453,5.91,-2.56,active
MCO,2026-01-05,3,2026-01-06,526.9000244140625,532.9000244140625,5.6,1.14,active
PSX,2026-01-05,3,2026-01-06,139.97999572753906,136.64999389648438,7.21,-2.38,active
HOOD,2026-01-05,3,2026-01-06,123.23999786376952,121.69999694824219,6.97,-1.25,active
SLB,2026-01-05,3,2026-01-06,43.84000015258789,43.630001068115234,9.05,-0.48,active
TER,2026-01-05,3,2026-01-06,219.5,228.83999633789062,5.75,4.26,active
TTD,2026-01-05,3,2026-01-06,40.11000061035156,39.7400016784668,6.45,-0.92,active
URI,2026-01-05,3,2026-01-06,887.510009765625,892.0999755859375,5.02,0.52,active
VLO,2026-01-05,3,2026-01-06,180.6100006103516,178.27000427246094,9.26,-1.3,active
AMAT,2026-01-05,2,2026-01-06,284.32000732421875,296.010009765625,5.75,4.11,active
TECH,2026-01-05,2,2026-01-06,63.02999877929688,65.27999877929688,5.67,3.57,active
XYZ,2026-01-05,2,2026-01-06,68.44999694824219,70.0,5.07,2.26,active
CVNA,2026-01-05,2,2026-01-06,430.05999755859375,440.44000244140625,7.45,2.41,active
CNC,2026-01-05,2,2026-01-06,44.68000030517578,45.7400016784668,6.94,2.37,active
CVX,2026-01-05,2,2026-01-06,163.85000610351562,156.5399932861328,5.1,-4.46,active
COIN,2026-01-05,2,2026-01-06,254.9199981689453,250.55999755859375,7.77,-1.71,active
EMR,2026-01-05,2,2026-01-06,142.85000610351562,145.6199951171875,5.18,1.94,active
FFIV,2026-01-05,2,2026-01-06,272.0599975585937,270.6400146484375,6.01,-0.52,active
GNRC,2026-01-05,2,2026-01-06,148.67999267578125,145.27000427246094,5.37,-2.29,active
HAL,2026-01-05,2,2026-01-06,31.920000076293945,30.829999923706055,7.84,-3.41,active
IBKR,2026-01-05,2,2026-01-06,71.56999969482422,72.87999725341797,6.46,1.83,active
JBL,2026-01-05,2,2026-01-06,223.44000244140625,224.3800048828125,-7.05,0.42,active
KLAC,2026-01-05,2,2026-01-06,1352.449951171875,1395.0,6.12,3.15,active
LRCX,2026-01-05,2,2026-01-06,194.759994506836,206.9600067138672,5.24,6.26,active
LDOS,2026-01-05,2,2026-01-06,195.4900054931641,197.5,6.55,1.03,active
MPC,2026-01-05,2,2026-01-06,174.94000244140625,170.4199981689453,5.93,-2.58,active
MCO,2026-01-05,2,2026-01-06,526.8800048828125,532.9000244140625,5.59,1.14,active
PSX,2026-01-05,2,2026-01-06,139.97999572753906,136.64999389648438,7.21,-2.38,active
HOOD,2026-01-05,2,2026-01-06,123.23999786376952,121.69999694824219,6.97,-1.25,active
SLB,2026-01-05,2,2026-01-06,43.79999923706055,43.630001068115234,8.96,-0.39,active
TER,2026-01-05,2,2026-01-06,219.5,228.83999633789062,5.75,4.26,active
TTD,2026-01-05,2,2026-01-06,40.11000061035156,39.7400016784668,6.45,-0.92,active
VLO,2026-01-05,2,2026-01-06,180.57000732421875,178.27000427246094,9.23,-1.27,active
ALB,2026-01-06,1,2026-01-06,158.14999389648438,158.14999389648438,8.23,0.0,active
ARE,2026-01-06,1,2026-01-06,52.380001068115234,52.380001068115234,5.73,0.0,active
AIG,2026-01-06,1,2026-01-06,78.05999755859375,78.05999755859375,-7.49,0.0,active
ADI,2026-01-06,1,2026-01-06,292.94000244140625,292.94000244140625,5.64,0.0,active
AXON,2026-01-06,1,2026-01-06,626.6500244140625,626.6500244140625,6.0,0.0,active
EPAM,2026-01-06,1,2026-01-06,218.3800048828125,218.3800048828125,5.7,0.0,active
JCI,2026-01-06,1,2026-01-06,113.9499969482422,113.94999694824219,-6.24,-0.0,active
LRCX,2026-01-06,1,2026-01-06,206.9600067138672,206.9600067138672,6.26,0.0,active
MCHP,2026-01-06,1,2026-01-06,74.87000274658203,74.87000274658203,11.65,0.0,active
MU,2026-01-06,1,2026-01-06,343.42999267578125,343.42999267578125,10.02,0.0,active
MRNA,2026-01-06,1,2026-01-06,35.65999984741211,35.65999984741211,10.85,0.0,active
MPWR,2026-01-06,1,2026-01-06,1005.3800048828124,1005.3800048828125,5.27,0.0,active
NEM,2026-01-06,1,2026-01-06,109.1999969482422,109.19999694824219,5.48,-0.0,active
NCLH,2026-01-06,1,2026-01-06,23.799999237060547,23.799999237060547,5.4,0.0,active
NXPI,2026-01-06,1,2026-01-06,245.9499969482422,245.9499969482422,9.86,0.0,active
ON,2026-01-06,1,2026-01-06,61.7599983215332,61.7599983215332,5.23,0.0,active
Q,2026-01-06,1,2026-01-06,91.13999938964844,91.13999938964844,7.08,0.0,active
RCL,2026-01-06,1,2026-01-06,297.75,297.75,6.28,0.0,active
SNDK,2026-01-06,1,2026-01-06,349.6300048828125,349.6300048828125,27.56,0.0,active
STX,2026-01-06,1,2026-01-06,330.4200134277344,330.4200134277344,14.0,0.0,active
SYK,2026-01-06,1,2026-01-06,366.3900146484375,366.3900146484375,5.05,0.0,active
TXN,2026-01-06,1,2026-01-06,192.1000061035156,192.10000610351562,8.43,0.0,active
UBER,2026-01-06,1,2026-01-06,85.54000091552734,85.54000091552734,5.95,0.0,active
WDC,2026-01-06,1,2026-01-06,219.3800048828125,219.3800048828125,16.77,0.0,active
